Time (s),Encoder Displacement (m),Load Cell Full Scale (N),epsLX [%]
22,0.000227876,10.626279,0.835299
22.1,0.000228882,10.614175,0.840696
22.2,0.000229867,10.642759,0.845702
22.3,0.00023088,10.682545,0.850959
22.4,0.000231869,10.665825,0.856677
22.5,0.000232869,10.681906,0.860904
22.6,0.000233874,10.665634,0.865198
22.7,0.000234872,10.659225,0.869875
22.8,0.00023587,10.764559,0.873949
22.9,0.000236875,10.711782,0.880106
23,0.000237875,10.739642,0.88571
23.1,0.000238868,10.82293,0.889066
23.2,0.000239874,10.805812,0.893725
23.3,0.00024088,10.825434,0.899699
23.4,0.000241878,10.875252,0.9039
23.5,0.000242872,10.900783,0.908637
23.6,0.000243876,10.844569,0.913894
23.7,0.000244869,10.954268,0.918815
23.8,0.000245863,10.854826,0.924288
23.9,0.000246864,10.948194,0.929694
24,0.000247882,10.936944,0.934314
24.1,0.000248868,10.983031,0.93931
24.2,0.000249874,11.001944,0.94251
24.3,0.000250869,10.995017,0.948457
24.4,0.000251883,11.034211,0.952962
24.5,0.000252874,11.079335,0.959528
24.6,0.000253869,11.077716,0.962571
24.7,0.000254867,10.998771,0.96894
24.8,0.000255871,11.073864,0.973396
24.9,0.000256874,11.095145,0.978974
25,0.000257867,11.118903,0.983799
25.1,0.000258885,11.091389,0.988676
25.2,0.000259868,11.186592,0.994101
25.3,0.000260883,11.197941,1.0006
25.4,0.000261869,11.149336,1.004947
25.5,0.000262871,11.318719,1.010763
25.6,0.000263876,11.189742,1.016829
25.7,0.000264866,11.229006,1.020765
25.8,0.000265867,11.210125,1.025492
25.9,0.000266876,11.250991,1.030814
26,0.000267879,11.266641,1.035974
26.1,0.000268872,11.327014,1.041023
26.2,0.000269877,11.265407,1.04668
26.3,0.000270879,11.289483,1.05106
26.4,0.000271873,11.404249,1.057256
26.5,0.000272877,11.327717,1.061994
26.6,0.000273863,11.342723,1.067215
26.7,0.00027487,11.400721,1.071861
26.8,0.00027588,11.36739,1.076376
26.9,0.000276866,11.397484,1.081103
27,0.000277864,11.433454,1.08749
27.1,0.000278877,11.449834,1.093319
27.2,0.000279871,11.393322,1.098875
27.3,0.000280868,11.467356,1.104388
27.4,0.000281876,11.487462,1.108409
27.5,0.000282878,11.496993,1.113537
27.6,0.000283875,11.513956,1.118689
27.7,0.000284861,11.495364,1.124006
27.8,0.000285875,11.521949,1.130834
27.9,0.000286882,11.537841,1.135241
28,0.000287872,11.585088,1.140806
28.1,0.000288884,11.443478,1.145956
28.2,0.000289868,11.610768,1.15191
28.3,0.000290874,11.661997,1.157824
28.4,0.000291866,11.593462,1.162709
28.5,0.000292867,11.614084,1.167748
28.6,0.000293873,11.598995,1.173305
28.7,0.000294875,11.627757,1.1778
28.8,0.000295879,11.643318,1.183619
28.9,0.000296873,11.736053,1.18933
29,0.000297862,11.549117,1.195235
29.1,0.000298865,11.733449,1.201371
29.2,0.000299872,11.722798,1.206397
29.3,0.00030089,11.660059,1.212208
29.4,0.000301874,11.667509,1.217516
29.5,0.000302868,11.694262,1.222392
29.6,0.00030387,11.729708,1.22738
29.7,0.000304878,11.739548,1.233466
29.8,0.000305875,11.851198,1.238655
29.9,0.00030687,11.854972,1.242628
30,0.000307871,11.833113,1.251084
30.1,0.000308866,11.803042,1.257087
30.2,0.000309879,11.789216,1.261653
30.3,0.000310872,11.772555,1.267254
30.4,0.000311876,11.78141,1.271765
30.5,0.000312882,11.814659,1.276932
30.6,0.000313863,11.824568,1.282335
30.7,0.000314871,11.997183,1.29027
30.8,0.00031588,11.790671,1.297954
30.9,0.000316878,11.800433,1.301743
31,0.000317878,11.808187,1.303496
31.1,0.000318872,11.852571,1.308482
31.2,0.000319872,11.842992,1.31081
31.3,0.000320873,11.905761,1.31448
31.4,0.000321873,11.874152,1.324436
31.5,0.000322868,11.876296,1.336373
31.6,0.000323866,11.825991,1.343219
31.7,0.000324875,11.954883,1.347334
31.8,0.00032588,11.900235,1.35312
31.9,0.000326876,11.879146,1.357169
32,0.00032787,11.909855,1.362679
32.1,0.000328864,11.931465,1.368388
32.2,0.000329875,11.938843,1.372552
32.3,0.000330877,11.940737,1.376408
32.4,0.000331868,11.977487,1.381275
32.5,0.000332872,11.924232,1.388284
32.6,0.000333873,11.952902,1.392447
32.7,0.000334878,12.025612,1.400705
32.8,0.000335878,11.973789,1.406467
32.9,0.000336877,12.012332,1.412248
33,0.000337874,11.999771,1.418709
33.1,0.000338865,11.977528,1.423154
33.2,0.000339868,11.990976,1.429649
33.3,0.000340868,12.019446,1.434253
33.4,0.000341871,12.030332,1.438323
33.5,0.000342884,11.930521,1.442828
33.6,0.00034387,12.103362,1.448782
33.7,0.000344877,12.061072,1.454168
33.8,0.000345879,12.098608,1.459469
33.9,0.000346874,12.080896,1.465591
34,0.00034787,12.11278,1.473567
34.1,0.000348867,12.138337,1.479498
34.2,0.000349865,12.134101,1.487624
34.3,0.000350864,12.137427,1.491656
34.4,0.000351871,12.154524,1.495117
34.5,0.000352879,12.186665,1.500252
34.6,0.000353875,12.118849,1.506117
34.7,0.000354875,12.128543,1.510225
34.8,0.000355867,12.109686,1.517164
34.9,0.000356871,12.166473,1.523249
